2.98,4.76,1.59,Roll
-11.07,0.39,-43.71,Yaw
-7.62,-6.88,-27.67,Yaw
-2.71,2.91,4.52,Yaw
4,6.48,49.27,Yaw
1.69,-10.25,40.21,Yaw
-4.03,-0.22,-16.1,Yaw
3.38,-6.03,-44.04,Yaw
4.74,-7.63,-39.22,Yaw
-10.62,11.82,37.54,Yaw
-1.88,0.79,29.74,Yaw
13.66,-13.87,29.02,Yaw
1.09,12.27,-26.55,Yaw
0.17,-13.07,-52.57,Yaw
-3.35,6.03,15.35,Yaw
5.99,8.14,37.87,Yaw
-1.4,-6.76,24.59,Yaw
-1.12,-3.48,-34.69,Yaw
-9.59,-6.14,-49.03,Yaw
-6.48,10.79,20.45,Yaw
6.62,7.67,41.85,Yaw
0.32,1.85,24.14,Yaw
9.87,-11.09,-39.9,Yaw
-4.6,3.31,-20.43,Yaw
6.36,9.33,23.4,Yaw
0.5,-1.5,41.79,Yaw
-0.79,-2.85,-9.75,Yaw
-4.94,2.49,-45.89,Yaw
-6.18,0.88,-0.99,Pitch
18.5,1.25,49.56,Yaw
-2.5,-5.99,27.88,Yaw
-3.18,3.95,-38.45,Yaw
-5.79,-4.2,-51.14,Yaw
0.99,4.54,13.98,Yaw
4.53,-1.44,36.33,Yaw
3.77,-0.89,11.98,Yaw
-7,-1.04,-40.01,Yaw
-17.92,-1.89,-23.46,Yaw
6.3,4.62,15.87,Yaw
-2.66,0.57,0.2,Pitch
4.45,-19.46,56.54,Yaw
3.99,-7.6,-45.57,Yaw
-0.35,-3.04,-40.53,Yaw
-10.24,7.73,29.58,Yaw
3.97,-0.16,43.5,Yaw
23.78,-17.69,9.46,Pitch
-20.02,-11.57,-26.75,Yaw
32.93,2.48,-54.28,Yaw
-14.95,1.47,13.65,Pitch
-10.91,7.01,29.05,Yaw
47.32,4,46.42,Pitch
-19.67,2.59,-23.8,Yaw
-24.83,7.97,-44.54,Yaw
13.56,-4.88,-11.53,Pitch
-23.54,5.34,38.05,Yaw
11.62,-6.83,39.99,Yaw
0.87,1.51,-14.28,Yaw
-22.18,5.67,-47.4,Yaw
-1.37,-1.99,0.75,Roll
26.48,-12.8,33.89,Yaw
20.6,7.16,23.23,Yaw
-17.95,18.36,-26.8,Yaw
0.48,18.01,-57.77,Yaw
-13.47,-5.27,20.38,Yaw
-1.63,-30.68,38.25,Yaw
6.45,-7.61,34.19,Yaw
-2.7,-20.8,-17.05,Roll
0.59,27.57,-48.15,Yaw
5.51,3.79,-18.88,Yaw
-10,-6.54,47.03,Yaw
-11.1,-0.69,34.51,Yaw
-6.88,2.35,-0.83,Pitch
26.74,4.18,2.34,Pitch
-16.06,-24,2.4,Roll
13.91,10.35,-72.15,Yaw
-8.67,0.24,14.86,Yaw
-6.32,-0.47,43.77,Yaw
13.31,-7.13,38.91,Yaw
-10.68,-10.36,-23.81,Yaw
9.85,18.78,-68.04,Yaw
-22.79,-1.14,20.09,Pitch
-4.68,-2.42,42.35,Yaw
9.77,3.21,18.62,Yaw
-21.96,5.7,-32.71,Yaw
32.34,8.13,-45.02,Yaw
-28.08,2.38,18.18,Pitch
12.12,-12.51,52.55,Yaw
-4.45,0.78,9.07,Yaw
4.19,43.73,-65.24,Yaw
1.53,-4.67,-29.09,Yaw
-9.73,-12.83,51.21,Yaw
9.23,0.66,28.68,Yaw
8.55,5.29,10.22,Yaw
-11.09,10.56,-33.59,Yaw
33.47,-8.68,-48.91,Yaw
-19.49,-1.9,30.15,Yaw
5.89,-0.41,47.65,Yaw
0.3,-2.14,5.18,Yaw
-3.46,9.27,-65.36,Yaw
25.54,-2.86,-11.54,Pitch
-2.92,-6.15,30.61,Yaw
-0.88,-4.58,40.17,Yaw
8.33,2.02,13.4,Yaw
-10.69,5.42,-46.24,Yaw
16.97,-10.06,-22.64,Yaw
-16.11,0.8,30.61,Yaw
11.1,7.66,32.62,Yaw
-11.08,5.54,-12.83,Yaw
10.46,-3.22,-62,Yaw
6.49,-5.17,13.42,Yaw
-13.52,13.51,25.62,Yaw
0.81,0.8,38.64,Yaw
-6.21,8.44,-9.91,Yaw
-17.09,-1.76,-47.39,Yaw
22.5,-4.66,-4.32,Pitch
-12.85,-1.64,48.45,Yaw
10.38,-3.09,45.65,Yaw
-4.44,11.62,-37.68,Yaw
19.04,-0.5,-52.43,Yaw
5.8,-3.03,18.74,Yaw
-3,16.3,45.18,Yaw
6.51,-3.95,11.31,Yaw
-5.77,-8.28,0.04,Roll
-17.35,-2.62,-51.7,Yaw
15.25,4.96,-21.03,Yaw
-22.99,10.17,39.43,Yaw
-0.43,-8.33,36.87,Yaw
5.84,2.64,-5.13,Pitch
-7.6,1.86,-74.28,Yaw
4.55,-6.2,3.21,Roll
-5.6,8.81,41.59,Yaw
8.76,6.91,36.6,Yaw
-12.89,3.81,-31.59,Yaw
21.2,-9.35,-60.7,Yaw
2.48,-2.6,-0.67,Roll
-20.25,7.27,40.07,Yaw
9.4,-11.64,37.27,Yaw
-8.13,24.86,-26.8,Yaw
5.67,-7.3,-47.44,Yaw
-7.16,2.48,21,Yaw
20.64,-7.97,49.59,Yaw
-3.42,-3.43,17.35,Yaw
-16.5,-7.1,-33.9,Yaw
6.49,1.97,-51.46,Yaw
-5.06,3.6,9.71,Yaw
2.45,3.3,41.57,Yaw
8.18,-13.37,27.1,Yaw
-0.11,-3.85,-53.72,Yaw
7.7,-2.76,-28.42,Yaw
-9.52,0.33,30.16,Yaw
4.97,-6.76,44.34,Yaw
2.08,-0.93,21.07,Yaw
-9.42,3.35,-48.71,Yaw
31.82,-6.99,-27.54,Pitch
-11.92,-0.62,34.49,Yaw
-10.62,2.98,26.28,Yaw
21.6,-12.09,11.48,Pitch
-5.05,2.28,-0.94,Pitch
-17.74,13.86,-63.46,Yaw
9.9,-2.32,-8.09,Pitch
-13.32,8.5,42.42,Yaw
3.91,-0.76,37.58,Yaw
-3.48,14.51,-22.86,Yaw
8.41,-6.19,-65.21,Yaw
13.62,-8.98,11.75,Pitch
-21.01,9.54,32.13,Yaw
1.53,-3.78,23.03,Yaw
-1.17,13.84,-49.03,Yaw
24.42,-7.43,-10.82,Pitch
-18.52,-8.84,44.1,Yaw
-3.87,-1.91,40.27,Yaw
4.41,3.17,5.67,Yaw
-14.73,14.43,-56.37,Yaw
28.82,-3.31,-21.06,Pitch
-25.94,7.31,23.24,Pitch
8.17,7.57,51.93,Yaw
4.87,0.43,13.91,Yaw
-15.55,6.88,-60.35,Yaw
41.21,-7.99,-16.3,Pitch
-28.39,9.79,40.97,Yaw
9.08,6.1,32.09,Yaw
-2.72,-9.59,-7.18,Roll
-7.63,-2.24,-58.94,Yaw
-3,3.07,-5.63,Yaw
-3.97,-0.09,43.94,Yaw
-14.07,-24.96,19.1,Roll
27.19,-7.28,-4.23,Pitch
-9.82,-15.59,-7.95,Roll
-8.19,-16.62,-74.59,Yaw
4.6,-13.51,17.19,Yaw
31.08,-27.01,28.24,Pitch
1.73,14.39,7.91,Roll
-15.56,66.35,-36.48,Roll
24.66,-6.81,-36.51,Yaw
-16.79,9.41,14.35,Pitch
-31.79,-29.27,38.07,Yaw
-10.92,108.38,34.91,Roll
1.01,2.75,-5.92,Yaw
-9.46,3.28,-30.66,Yaw
-18.69,-155.09,-41.45,Roll
5.5,-20.52,12.29,Roll
-12.28,12.97,29.5,Yaw
20.24,153.93,28.15,Roll
-4.91,-139.46,-19.24,Roll
-6.13,31.73,-51.39,Yaw
11.94,-8.59,0.56,Pitch
5.32,-12.36,45.04,Yaw
6.22,-29.38,41.35,Yaw
3.24,16.8,-25.15,Yaw
-4.64,19.69,-71.1,Yaw
13.69,-10.28,4.44,Pitch
-6.77,-5.96,52.77,Yaw
16.73,-16.38,38.13,Yaw
-5.83,19.49,-33.53,Yaw
-12.98,10.2,-68.44,Yaw
5.55,-5.76,20.85,Yaw
11.1,-23.18,45.1,Yaw
14.6,-5.73,27.89,Yaw
-5.8,17.92,-46.31,Yaw
-3.53,-10.57,3.8,Roll
0.25,-20.03,-0.58,Roll
2.31,-0.67,-1.35,Pitch
0.12,-1.66,2.02,Yaw
1.83,-3.42,4.07,Yaw
-0.59,9.74,-1.79,Roll
-0.12,31.86,0.54,Roll
-0.43,0.35,0.13,Pitch
