-1.25,-0.93,-1.2,Pitch,,MaxA,77.03,,,
-3.78,1.76,-0.19,Pitch,,MinA,-73.01,,,
-1.28,0.78,-2.02,Yaw,,,,,SDA,32.6275408326782
-1.96,0.59,-0.68,Pitch,,MaxB,42.81,,,
-1.06,0.02,1.27,Yaw,,MinB,-51.03,,,
0.13,0.42,1.66,Yaw,,,,,SDB,9.64935563328556
0.03,0.02,0.11,Yaw,,MaxZ,39.27,,,
-4.07,1.39,-1.5,Pitch,,MinZ,-42.52,,,
1.27,-0.06,2.01,Yaw,,,,,SDC,12.6811125324674
-3.59,0.97,-1.32,Pitch,,,,,,
-3.24,-1.02,-0.23,Pitch,,RangeX,150.04,,,
1.3,-0.42,1.96,Yaw,,RangeY,93.84,,,
-2.05,-1.27,-0.53,Pitch,,RangeZ,81.79,,,
2.7,-1.99,1.19,Pitch,,,,,,
-0.58,1.05,1.1,Yaw,,,,,,
-1.43,-0.59,-0.02,Pitch,,,,,,
-0.42,0.47,1.43,Yaw,,,,,,
-0.58,0.41,1.36,Yaw,,,,,,
-0.73,0.44,0.99,Yaw,,,,,,
-0.71,0.07,1.54,Yaw,,,,,,
-0.26,0.59,0.44,Roll,,,,,,
-1.58,0.82,0.2,Pitch,,,,,,
-1.16,0.78,-0.49,Pitch,,,,,,
-1.06,0.65,0.06,Pitch,,,,,,
-0.99,0.63,-0.03,Pitch,,,,,,
-0.97,0.46,0.29,Pitch,,,,,,
-0.78,0.31,0.24,Pitch,,,,,,
-0.78,0.28,0.75,Pitch,,,,,,
-0.95,0.36,0.17,Pitch,,,,,,
-0.59,0.13,0.62,Yaw,,,,,,
-0.42,-0.01,0.71,Yaw,,,,,,
-0.68,0.33,0.37,Pitch,,,,,,
-1.05,0.63,0.23,Pitch,,,,,,
-0.56,0.49,0.2,Pitch,,,,,,
-0.64,0.45,0.37,Pitch,,,,,,
-0.68,0.33,0.21,Pitch,,,,,,
-0.76,0.4,0.07,Pitch,,,,,,
-0.55,0.36,0.26,Pitch,,,,,,
-0.46,0.19,0.41,Pitch,,,,,,
-0.64,0.05,0.43,Pitch,,,,,,
-0.67,0.23,0.6,Pitch,,,,,,
-0.91,0.26,0.27,Pitch,,,,,,
-0.57,0.45,0.16,Pitch,,,,,,
-0.74,0.38,0.26,Pitch,,,,,,
-0.47,0.09,0.34,Pitch,,,,,,
-0.87,0.29,0.31,Pitch,,,,,,
-1.63,-0.27,0.21,Pitch,,,,,,
-1.95,-0.1,0.24,Pitch,,,,,,
1.77,1.24,-0.25,Pitch,,,,,,
0.53,-1.53,0.44,Roll,,,,,,
-0.64,1.09,0.33,Roll,,,,,,
0.74,1.46,-0.81,Roll,,,,,,
17.25,-2.47,-6.19,Pitch,,,,,,
30.59,-5.33,11,Pitch,,,,,,
-3.46,4.1,5.8,Yaw,,,,,,
-44.45,-7.66,-8.45,Pitch,,,,,,
-10.68,7.54,-1.23,Pitch,,,,,,
10.14,9.98,-1.86,Pitch,,,,,,
47.1,-10.84,20.25,Pitch,,,,,,
-6,-4.88,-0.13,Pitch,,,,,,
-44.65,2.01,7.65,Pitch,,,,,,
-5.51,0.03,1.99,Pitch,,,,,,
45.12,-18.33,-3.26,Pitch,,,,,,
27.13,-0.77,6.91,Pitch,,,,,,
-19.84,0.13,-0.34,Pitch,,,,,,
-40.45,0.37,0.06,Pitch,,,,,,
2.03,-5.42,6.51,Yaw,,,,,,
52.71,-32.96,25.23,Pitch,,,,,,
-4.78,4.55,-0.34,Pitch,,,,,,
-47.56,9.55,-9.88,Pitch,,,,,,
-9.16,7.72,7.36,Pitch,,,,,,
5.54,7.12,-4.1,Roll,,,,,,
43.6,41.49,-34.23,Pitch,,,,,,
-13.06,8.49,-1.73,Pitch,,,,,,
-43.21,-15.71,22.61,Pitch,,,,,,
-4.79,-2.5,1.11,Pitch,,,,,,
48,1.29,-13.22,Pitch,,,,,,
19.11,0.21,-4.49,Pitch,,,,,,
-48.79,1.15,11.47,Pitch,,,,,,
-19.19,1.45,9.92,Pitch,,,,,,
32.82,-25.29,-19.36,Pitch,,,,,,
43.61,6,1.25,Pitch,,,,,,
-38.25,7.36,0.59,Pitch,,,,,,
-28.24,3.73,13.06,Pitch,,,,,,
6.18,3.55,-8.06,Yaw,,,,,,
48.42,-3.73,-14.75,Pitch,,,,,,
-7.17,0.85,6.08,Pitch,,,,,,
-33.13,-11.11,18.65,Pitch,,,,,,
-5.54,4.37,-1.38,Pitch,,,,,,
44.67,0.26,-3.55,Pitch,,,,,,
11.03,1.02,-4.47,Pitch,,,,,,
-51.99,2.01,5.04,Pitch,,,,,,
-16.39,-10.14,5.23,Pitch,,,,,,
43.27,-11.9,0.87,Pitch,,,,,,
34.03,4.85,-3.26,Pitch,,,,,,
-33.02,-10.77,11.66,Pitch,,,,,,
-17.47,-18.44,11.43,Roll,,,,,,
34.47,24.64,-9.83,Pitch,,,,,,
18.97,-2.97,7.98,Pitch,,,,,,
-27.03,-4.08,-4,Pitch,,,,,,
-19.56,0.27,11.37,Pitch,,,,,,
11.18,2.79,-3.68,Pitch,,,,,,
62.19,30.46,-16.34,Pitch,,,,,,
-26.76,-7.75,4.81,Pitch,,,,,,
-44.06,-18.46,14.82,Pitch,,,,,,
-3.19,-3.27,-1.17,Roll,,,,,,
55.96,10.01,-4.25,Pitch,,,,,,
-7.38,1.26,2.4,Pitch,,,,,,
-45.77,-9.27,7.28,Pitch,,,,,,
